iter	Logloss
0	0.5996700183
1	0.52384014
2	0.4668773246
3	0.4231308456
4	0.3893195221
5	0.3622949423
6	0.3427830978
7	0.3260426865
8	0.3139559304
9	0.3035371036
10	0.2950983082
11	0.2883363163
12	0.2830937812
13	0.2785853301
14	0.2746627173
15	0.2719358462
16	0.2693852578
17	0.2673108869
18	0.2658381417
19	0.2644362263
20	0.2632470934
21	0.2621514395
22	0.2614116201
23	0.2604925744
24	0.2598897643
25	0.2592918215
26	0.258844133
27	0.2582777752
28	0.2579215334
29	0.257537146
30	0.2570947949
31	0.2567681621
32	0.2564754523
33	0.2561564323
34	0.2559820343
35	0.2556525711
36	0.2554706739
37	0.2552334966
38	0.2550037399
39	0.2548048497
40	0.2546136136
41	0.2543985109
42	0.2542536251
43	0.2540355929
44	0.2538230302
45	0.2537174303
46	0.2535555821
47	0.2534095915
48	0.2532803063
49	0.2531724103
50	0.25304458
51	0.2529162543
52	0.2527541635
53	0.2526391551
54	0.2525051122
55	0.2524307414
56	0.2523428165
57	0.2522544327
58	0.2521817153
59	0.2520566842
60	0.2519577981
61	0.2518700984
62	0.2517543184
63	0.2516604617
64	0.2515333052
65	0.2514766441
66	0.2513939134
67	0.2513409152
68	0.251258774
69	0.2511949181
70	0.2511253491
71	0.2510493496
72	0.2509946913
73	0.2509129622
74	0.2508436645
75	0.2507406134
76	0.2506551501
77	0.2505901997
78	0.2505275796
79	0.2504477207
80	0.2503877286
81	0.250336957
82	0.2502654194
83	0.250214464
84	0.2501540603
85	0.2500788497
86	0.2499609859
87	0.2498931627
88	0.2498225806
89	0.2497631806
90	0.2497106763
91	0.2496342837
92	0.2495756687
93	0.249526764
94	0.2494767872
95	0.2494312844
96	0.2493789099
97	0.2493362943
98	0.2492969268
99	0.249263677
100	0.2492218377
101	0.2491387544
102	0.2490960941
103	0.2490475059
104	0.2489918132
105	0.2489360829
106	0.2489149823
107	0.2488684352
108	0.2487647165
109	0.2487034504
110	0.2486568792
111	0.2485946619
112	0.2485595249
113	0.2484938314
114	0.248426066
115	0.2483683488
116	0.2482513526
117	0.2481740897
118	0.2481407011
119	0.2481100469
120	0.2480549224
121	0.2480170214
122	0.2479895648
123	0.2479373467
124	0.2478788701
125	0.2478425035
126	0.2477850682
127	0.2477296956
128	0.2476624468
129	0.2476205479
130	0.2475961986
131	0.2475537547
132	0.2475011864
133	0.2474294473
134	0.2473911188
135	0.2473313943
136	0.2472788552
137	0.2472294911
138	0.24716241
139	0.2470698001
140	0.247065634
141	0.247017798
142	0.246964257
143	0.2469173585
144	0.2468539179
145	0.2467650998
146	0.2466845672
147	0.2466486547
148	0.2466031637
149	0.2465497935
150	0.2465041167
151	0.2464655715
152	0.2464635988
153	0.2463903434
154	0.2463419955
155	0.2463215658
156	0.2462649456
157	0.2462001191
158	0.2461617415
159	0.2460784835
160	0.2460320508
161	0.2460054367
162	0.2459166581
163	0.2458628107
164	0.2458031692
165	0.2457699575
166	0.2457218125
167	0.2456903084
168	0.2456889466
169	0.2456587926
170	0.2456015288
171	0.245545167
172	0.2454898292
173	0.2454394434
174	0.2454346904
175	0.2453740404
176	0.2453308818
177	0.2452713843
178	0.2452379542
179	0.2451927584
180	0.245131425
181	0.2450923681
182	0.2450319193
183	0.2449745892
184	0.2449302795
185	0.2449005597
186	0.2448594454
187	0.2448287712
188	0.2448278017
189	0.2447953671
190	0.2447492407
191	0.2446966405
192	0.2446955931
193	0.2446637536
194	0.2446111411
195	0.2445534685
196	0.2445099177
197	0.2444671138
198	0.2444144519
199	0.2443535095
200	0.2443092469
201	0.2442644101
202	0.2442204682
203	0.2441816421
204	0.2441123163
205	0.2440887935
206	0.2440113653
