iter	Passed	Remaining
0	16	16974
1	30	15436
2	45	15032
3	60	15113
4	75	15059
5	89	14885
6	104	14767
7	118	14707
8	132	14632
9	147	14609
10	161	14556
11	176	14543
12	191	14511
13	204	14418
14	219	14392
15	233	14350
16	248	14388
17	264	14425
18	278	14369
19	292	14332
20	307	14317
21	322	14330
22	337	14324
23	352	14343
24	367	14343
25	381	14296
26	396	14283
27	412	14316
28	426	14286
29	441	14275
30	459	14364
31	485	14700
32	500	14676
33	516	14673
34	532	14673
35	548	14680
36	564	14684
37	579	14665
38	593	14630
39	610	14655
40	625	14625
41	641	14623
42	656	14600
43	671	14593
44	687	14584
45	701	14542
46	716	14520
47	730	14494
48	746	14478
49	760	14446
50	776	14441
51	790	14411
52	806	14414
53	821	14387
54	836	14376
55	850	14343
56	864	14304
57	878	14271
58	893	14245
59	909	14247
60	924	14228
61	940	14225
62	955	14207
63	969	14176
64	983	14142
65	998	14135
66	1013	14113
67	1027	14089
68	1044	14086
69	1058	14064
70	1074	14054
71	1089	14036
72	1103	14017
73	1118	13995
74	1133	13980
75	1150	13991
76	1165	13968
77	1180	13949
78	1194	13925
79	1210	13920
80	1225	13904
81	1239	13879
82	1254	13858
83	1269	13839
84	1283	13815
85	1298	13799
86	1313	13782
87	1327	13760
88	1343	13750
89	1357	13730
90	1372	13713
91	1389	13709
92	1403	13685
93	1417	13661
94	1432	13650
95	1446	13625
96	1461	13601
97	1476	13585
98	1490	13565
99	1504	13538
100	1518	13517
101	1532	13493
102	1547	13478
103	1562	13458
104	1577	13444
105	1592	13433
106	1606	13408
107	1620	13386
108	1636	13377
109	1651	13364
110	1666	13346
111	1681	13334
112	1703	13369
113	1720	13370
114	1758	13533
115	1778	13554
116	1793	13539
117	1808	13519
118	1822	13494
119	1837	13475
120	1853	13462
121	1867	13438
122	1881	13417
123	1895	13391
124	1910	13373
125	1924	13351
126	1939	13332
127	1954	13317
128	1969	13298
129	1984	13279
130	1998	13255
131	2012	13234
132	2027	13214
133	2043	13204
134	2057	13181
135	2071	13159
136	2085	13139
137	2101	13128
138	2115	13105
139	2131	13092
140	2144	13067
141	2160	13051
142	2174	13033
143	2188	13011
144	2205	13004
145	2218	12978
146	2234	12968
147	2250	12953
148	2264	12935
149	2278	12914
150	2294	12900
151	2309	12882
152	2321	12852
153	2337	12841
154	2352	12824
155	2366	12805
156	2380	12783
157	2395	12766
158	2409	12746
159	2425	12734
160	2440	12719
161	2455	12699
162	2470	12683
163	2484	12662
164	2499	12647
165	2514	12633
166	2528	12612
167	2542	12593
168	2555	12566
169	2569	12546
170	2583	12526
171	2598	12510
172	2612	12490
173	2627	12473
174	2640	12449
175	2656	12436
176	2670	12419
177	2685	12402
178	2699	12382
179	2715	12370
180	2729	12351
181	2744	12335
182	2759	12321
183	2774	12303
184	2788	12284
185	2803	12267
186	2817	12248
187	2831	12229
188	2844	12204
189	2858	12188
190	2873	12169
191	2887	12153
192	2900	12129
193	2915	12113
194	2930	12099
195	2946	12084
196	2961	12069
197	2975	12053
198	2990	12036
199	3005	12020
200	3019	12002
201	3035	11993
202	3051	11979
203	3066	11963
204	3082	11952
205	3095	11932
206	3113	11925
207	3127	11909
208	3142	11892
209	3157	11878
210	3172	11862
211	3186	11842
212	3201	11827
213	3216	11814
214	3231	11799
215	3245	11781
216	3260	11765
217	3273	11742
218	3287	11724
219	3302	11708
220	3316	11689
221	3331	11674
222	3346	11659
223	3360	11643
224	3375	11625
225	3390	11611
226	3404	11592
227	3418	11574
228	3432	11558
229	3447	11540
230	3462	11525
231	3478	11514
232	3491	11494
233	3506	11478
234	3521	11463
235	3535	11444
236	3552	11436
237	3567	11422
238	3582	11407
239	3597	11392
240	3612	11377
241	3625	11354
242	3639	11337
243	3653	11321
244	3669	11308
245	3684	11292
246	3699	11277
247	3713	11259
248	3729	11249
249	3744	11232
250	3759	11217
251	3774	11202
252	3788	11186
253	3802	11169
254	3818	11154
255	3833	11140
256	3847	11124
257	3863	11110
258	3876	11091
259	3891	11076
260	3906	11059
261	3921	11044
262	3936	11030
263	3950	11013
264	3965	10998
265	3981	10985
266	3996	10972
267	4011	10955
268	4024	10937
269	4039	10920
270	4054	10905
271	4068	10889
272	4082	10871
273	4097	10857
274	4112	10843
275	4128	10831
276	4144	10816
277	4159	10802
278	4174	10788
279	4189	10774
280	4205	10759
281	4219	10744
282	4233	10726
283	4250	10715
284	4265	10700
285	4279	10684
286	4294	10669
287	4310	10657
288	4325	10640
289	4339	10624
290	4352	10604
291	4366	10587
292	4380	10570
293	4395	10554
294	4409	10537
295	4424	10523
296	4439	10508
297	4454	10493
298	4468	10475
299	4483	10461
300	4498	10447
301	4514	10433
302	4528	10416
303	4541	10396
304	4555	10380
305	4569	10364
306	4585	10350
307	4601	10337
308	4615	10320
309	4628	10303
310	4643	10286
311	4657	10271
312	4673	10258
313	4689	10245
314	4703	10228
315	4718	10212
316	4732	10197
317	4747	10181
318	4761	10165
319	4778	10154
320	4793	10139
321	4807	10121
322	4822	10107
323	4837	10093
324	4853	10079
325	4868	10065
326	4883	10050
327	4896	10031
328	4910	10014
329	4925	9999
330	4940	9984
331	4955	9970
332	4970	9955
333	4985	9940
334	4999	9924
335	5014	9910
336	5029	9894
337	5043	9878
338	5058	9862
339	5073	9848
340	5087	9832
341	5102	9817
342	5118	9804
343	5133	9788
344	5147	9772
345	5162	9758
346	5178	9745
347	5193	9729
348	5205	9710
349	5220	9694
350	5234	9678
351	5249	9664
352	5266	9652
353	5284	9642
354	5299	9628
355	5313	9612
356	5329	9598
357	5344	9584
358	5359	9568
359	5374	9554
360	5389	9540
361	5405	9526
362	5420	9511
363	5435	9497
364	5450	9483
365	5467	9470
366	5481	9454
367	5499	9444
368	5513	9428
369	5528	9413
370	5543	9398
371	5557	9382
372	5573	9368
373	5588	9354
374	5602	9337
375	5617	9322
376	5632	9307
377	5644	9288
378	5659	9273
379	5674	9258
380	5690	9245
381	5705	9230
382	5720	9214
383	5734	9199
384	5749	9184
385	5764	9169
386	5779	9155
387	5793	9138
388	5808	9123
389	5824	9109
390	5838	9093
391	5855	9081
392	5870	9067
393	5883	9049
394	5898	9034
395	5912	9017
396	5927	9003
397	5941	8987
398	5958	8974
399	5972	8959
400	5989	8946
401	6005	8934
402	6020	8919
403	6035	8903
404	6049	8888
405	6064	8873
406	6079	8857
407	6092	8840
408	6107	8825
409	6122	8810
410	6136	8793
411	6151	8779
412	6166	8764
413	6182	8751
414	6197	8735
415	6212	8721
416	6226	8705
417	6240	8689
418	6255	8674
419	6270	8659
420	6285	8644
421	6299	8628
422	6315	8614
423	6331	8601
424	6346	8586
425	6361	8571
426	6376	8556
427	6391	8541
428	6406	8526
429	6420	8511
430	6435	8496
431	6452	8483
432	6467	8468
433	6482	8453
434	6497	8439
435	6512	8424
436	6526	8408
437	6541	8393
438	6556	8378
439	6571	8364
440	6587	8350
441	6603	8336
442	6618	8321
443	6633	8306
444	6647	8291
445	6662	8275
446	6676	8259
447	6691	8244
448	6706	8229
449	6722	8216
450	6736	8200
451	6751	8185
452	6766	8170
453	6781	8155
454	6796	8140
455	6810	8125
456	6825	8110
457	6840	8095
458	6854	8079
459	6870	8064
460	6883	8048
461	6898	8033
462	6913	8018
463	6929	8004
464	6943	7989
465	6959	7974
466	6973	7959
467	6989	7944
468	7003	7929
469	7018	7914
470	7032	7899
471	7046	7883
472	7061	7867
473	7076	7852
474	7091	7837
475	7107	7824
476	7122	7809
477	7138	7795
478	7153	7780
479	7167	7764
480	7180	7747
481	7194	7732
482	7209	7717
483	7223	7701
484	7237	7685
485	7252	7669
486	7266	7654
487	7280	7638
488	7295	7623
489	7310	7609
490	7325	7594
491	7341	7579
492	7356	7565
493	7371	7550
494	7386	7536
495	7401	7520
496	7417	7506
497	7432	7492
498	7448	7478
499	7462	7462
500	7476	7446
501	7491	7432
502	7506	7417
503	7521	7402
504	7536	7387
505	7551	7372
506	7566	7357
507	7581	7342
508	7598	7329
509	7614	7315
510	7629	7301
511	7645	7286
512	7661	7273
513	7676	7257
514	7692	7244
515	7707	7229
516	7722	7214
517	7738	7200
518	7753	7186
519	7768	7170
520	7782	7155
521	7797	7139
522	7813	7125
523	7828	7111
524	7843	7096
525	7859	7082
526	7873	7066
527	7888	7051
528	7903	7036
529	7917	7021
530	7932	7006
531	7947	6991
532	7962	6976
533	7977	6961
534	7990	6945
535	8006	6930
536	8021	6915
537	8035	6900
538	8050	6885
539	8065	6870
540	8081	6856
541	8096	6841
542	8112	6827
543	8127	6812
544	8143	6798
545	8157	6782
546	8173	6768
547	8188	6753
548	8203	6738
549	8216	6722
550	8231	6707
551	8247	6693
552	8262	6678
553	8277	6663
554	8292	6649
555	8307	6634
556	8323	6620
557	8340	6606
558	8355	6591
559	8370	6576
560	8385	6562
561	8402	6548
562	8417	6533
563	8432	6518
564	8446	6503
565	8461	6488
566	8475	6472
567	8491	6458
568	8507	6443
569	8521	6428
570	8537	6414
571	8553	6399
572	8567	6384
573	8583	6369
574	8598	6355
575	8612	6340
576	8628	6325
577	8643	6310
578	8657	6294
579	8672	6279
580	8686	6264
581	8701	6249
582	8715	6234
583	8730	6218
584	8745	6203
585	8761	6189
586	8776	6175
587	8790	6159
588	8805	6144
589	8819	6128
590	8832	6112
591	8847	6097
592	8862	6082
593	8876	6067
594	8891	6052
595	8905	6036
596	8918	6020
597	8933	6005
598	8949	5991
599	8964	5976
600	8980	5961
601	8994	5946
602	9009	5931
603	9024	5916
604	9038	5901
605	9054	5887
606	9069	5872
607	9085	5857
608	9101	5843
609	9116	5828
610	9131	5813
611	9147	5799
612	9162	5784
613	9177	5769
614	9193	5754
615	9208	5740
616	9223	5725
617	9238	5710
618	9252	5695
619	9267	5680
620	9282	5664
621	9296	5649
622	9311	5634
623	9326	5620
624	9342	5605
625	9355	5589
626	9369	5573
627	9384	5558
628	9398	5543
629	9413	5528
630	9429	5514
631	9444	5499
632	9458	5483
633	9472	5468
634	9486	5453
635	9502	5438
636	9517	5423
637	9531	5408
638	9546	5393
639	9561	5378
640	9575	5362
641	9590	5347
642	9605	5332
643	9620	5317
644	9635	5303
645	9648	5287
646	9664	5272
647	9678	5257
648	9694	5242
649	9710	5228
650	9726	5214
651	9741	5199
652	9755	5184
653	9771	5169
654	9785	5154
655	9801	5139
656	9816	5124
657	9830	5109
658	9844	5094
659	9859	5079
660	9874	5064
661	9888	5048
662	9904	5034
663	9919	5019
664	9934	5004
665	9949	4989
666	9963	4974
667	9978	4959
668	9993	4944
669	10009	4930
670	10025	4915
671	10039	4900
672	10054	4885
673	10069	4870
674	10085	4855
675	10100	4840
676	10115	4826
677	10131	4811
678	10146	4796
679	10161	4782
680	10175	4766
681	10189	4751
682	10205	4736
683	10222	4722
684	10236	4707
685	10252	4692
686	10267	4677
687	10283	4663
688	10300	4649
689	10315	4634
690	10330	4619
691	10345	4604
692	10359	4589
693	10374	4574
694	10387	4558
695	10404	4544
696	10420	4530
697	10437	4515
698	10452	4501
699	10468	4486
700	10483	4471
701	10498	4456
702	10514	4442
703	10527	4426
704	10543	4411
705	10558	4396
706	10571	4381
707	10586	4366
708	10601	4351
709	10617	4336
710	10631	4321
711	10646	4306
712	10661	4291
713	10676	4276
714	10690	4261
715	10705	4246
716	10721	4231
717	10737	4217
718	10752	4202
719	10768	4187
720	10781	4172
721	10797	4157
722	10812	4142
723	10827	4127
724	10842	4112
725	10857	4097
726	10872	4082
727	10886	4067
728	10902	4052
729	10916	4037
730	10932	4023
731	10949	4008
732	10964	3993
733	10978	3978
734	10994	3964
735	11009	3949
736	11025	3934
737	11039	3919
738	11054	3904
739	11069	3889
740	11084	3874
741	11100	3859
742	11116	3845
743	11132	3830
744	11147	3815
745	11162	3800
746	11177	3785
747	11192	3770
748	11207	3755
749	11223	3741
750	11239	3726
751	11253	3711
752	11268	3696
753	11284	3681
754	11301	3667
755	11317	3652
756	11332	3637
757	11347	3622
758	11362	3607
759	11377	3592
760	11392	3578
761	11409	3563
762	11424	3548
763	11439	3533
764	11456	3519
765	11471	3504
766	11486	3489
767	11501	3474
768	11515	3459
769	11531	3444
770	11548	3430
771	11562	3414
772	11578	3400
773	11593	3385
774	11611	3370
775	11626	3356
776	11641	3341
777	11657	3326
778	11672	3311
779	11685	3296
780	11702	3281
781	11718	3266
782	11733	3251
